battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,touch_screen,wifi,network_2G,network_3G,network_4G,network_5G,price_range,price
643,1,2.2,0,4,0,10,0.5,153,8,4,1377,1754,3183,17,9,9,1,1,1,0,0,0,0,2720
1108,0,1.1,1,6,0,54,0.4,205,2,16,1497,1301,1621,15,17,3,1,1,1,0,0,0,0,4813
1724,0,2.3,0,17,1,42,0.5,243,4,17,908,1318,3504,14,11,20,0,1,0,0,1,0,1,17144
1647,0,2.6,1,5,0,43,0.6,230,4,10,1771,848,3457,9,6,11,1,0,1,0,0,0,0,5241
686,0,2.5,1,20,1,14,1.0,247,8,14,1508,754,912,16,10,6,0,1,0,0,1,0,1,19741
1849,0,1.9,0,4,1,16,0.9,84,3,20,12,951,1362,7,9,12,0,0,1,0,0,0,0,8028
963,0,1.8,0,18,1,55,0.9,113,8,6,933,641,1639,18,2,10,0,0,1,0,0,0,0,7750
1872,0,0.9,0,9,0,64,0.9,103,6,17,1176,1592,2391,6,6,17,0,0,0,0,1,0,0,2762
1159,1,2.4,0,14,0,6,0.5,224,7,5,238,588,3859,17,3,6,0,0,0,1,0,0,0,5787
1263,1,1.2,1,9,1,30,0.7,174,2,17,1213,1370,997,6,7,16,0,0,0,0,0,1,3,86009
1454,0,1.7,0,15,1,36,0.9,150,3,15,662,1659,2251,9,7,15,1,1,0,0,0,1,3,64034
902,1,1.2,0,11,1,28,0.5,171,2,1,1109,1022,3288,17,5,10,1,1,0,0,1,0,0,3988
1869,1,0.8,1,17,0,28,1.0,204,1,18,1044,1159,3965,17,12,6,1,1,1,0,0,0,0,3825
646,1,2.1,0,0,1,9,0.5,101,5,0,693,1450,2774,12,11,16,1,1,0,0,1,0,1,18000
1671,1,0.6,0,15,0,33,0.6,94,5,10,1342,1409,1777,12,2,10,1,1,1,0,0,0,0,8712
1363,0,2.4,0,5,1,21,0.7,180,2,19,1181,941,3834,18,5,5,0,1,0,0,1,0,1,12009
988,1,1.3,0,2,0,11,1.0,94,3,4,970,537,3681,16,18,5,1,0,0,0,0,1,2,51240
1428,1,0.5,1,1,1,14,0.3,232,8,15,963,1731,2719,9,10,8,0,1,0,0,1,0,0,8510
1050,1,1.8,1,1,0,64,0.8,132,4,0,1504,709,3378,17,3,16,0,1,0,0,0,1,2,46906
837,0,0.6,0,12,0,30,0.6,228,6,18,1902,1012,1879,20,14,18,0,1,0,0,0,1,3,99480
1371,0,1.2,0,8,0,36,0.3,181,2,13,75,1883,937,6,1,19,0,1,0,0,0,1,2,59315
1140,0,2.3,1,15,0,62,0.8,192,2,2,328,1524,3390,17,14,8,0,1,0,0,1,0,0,2654
972,0,0.7,0,4,0,55,0.6,111,6,1,1439,1480,1368,8,16,20,0,0,0,1,0,0,0,4712
650,0,2.6,0,20,0,9,0.7,100,8,4,1226,880,1980,11,1,11,0,0,0,0,1,0,1,16949
1938,0,0.5,0,6,1,30,0.4,162,7,16,1252,1327,3517,18,6,14,1,0,0,0,1,0,1,9116
1821,0,1.1,0,12,1,32,0.5,93,4,17,151,1358,1154,10,15,3,0,1,0,1,0,0,0,2725
762,1,2.4,0,19,1,42,0.7,94,2,0,1798,893,856,14,4,12,0,1,0,1,0,0,0,5351
643,1,1.3,0,12,1,31,0.5,227,1,14,71,1573,3675,11,15,6,1,1,0,0,0,1,3,112583
845,1,0.8,0,6,0,23,0.3,113,4,8,224,895,2123,9,18,7,1,0,1,0,0,0,0,8338
1123,0,1.4,0,9,1,22,1.0,243,1,4,472,531,3865,6,1,4,0,0,1,0,0,0,0,7455
1516,0,1.2,0,14,0,13,0.6,162,5,12,1920,1044,1455,12,14,2,1,1,0,0,0,1,3,141802
1380,0,2.6,1,20,0,12,0.8,88,6,18,1666,1211,3691,18,3,4,0,1,0,0,1,0,0,8945
501,0,1.3,1,5,0,3,0.5,237,4,9,359,1757,3079,16,1,4,0,0,1,0,0,0,0,2003
1396,0,2.5,1,4,1,51,0.4,156,7,19,539,1549,3204,6,9,5,0,0,0,0,1,0,1,19073
1827,1,2.7,0,1,0,42,0.5,242,4,20,810,1957,3881,16,4,8,0,0,0,1,0,0,0,4035
753,1,1.6,0,20,1,3,0.5,220,3,13,608,1584,738,12,17,16,1,1,0,1,0,0,0,3845
952,0,2.8,1,14,1,35,0.6,88,3,20,1069,1052,2266,20,3,12,1,0,0,0,0,1,3,102528
1560,0,1.4,0,15,1,4,0.6,115,6,11,0,1964,1398,19,0,19,1,1,0,0,1,0,0,4890
1683,0,2.9,1,18,1,17,0.5,196,7,10,677,1653,424,11,17,13,0,1,0,0,0,1,3,83117
1514,0,0.7,0,8,1,52,0.2,82,4,6,1268,1877,3947,7,19,5,0,1,1,0,0,0,0,6201
508,1,2.2,1,18,0,5,0.5,98,8,16,1242,697,2277,17,5,12,1,0,1,0,0,0,0,8070
1756,0,1.7,1,6,0,24,0.3,235,5,17,1637,1298,2450,8,19,7,1,0,1,0,0,0,0,2536
1622,0,1.5,1,3,1,58,0.2,102,7,6,290,1193,3764,17,19,20,0,0,0,0,1,0,1,16779
1315,0,2.1,0,2,0,51,0.9,183,2,19,1481,1894,694,11,13,19,1,0,0,0,0,1,3,147214
707,0,2.3,1,19,1,21,0.6,214,6,5,203,646,3191,8,9,16,1,1,0,0,0,1,3,81089
1654,1,0.5,0,10,0,26,0.7,184,8,10,1225,997,3516,13,17,4,0,1,1,0,0,0,0,5894
903,0,0.9,0,0,0,31,0.5,221,7,11,565,547,415,11,8,18,1,1,0,0,0,1,3,118894
651,0,2.3,0,5,0,19,0.9,125,6,15,481,1269,1069,5,11,2,0,1,0,1,0,0,0,6430
553,1,2.2,0,10,0,43,0.7,222,7,18,1815,1150,2705,5,9,3,1,0,0,1,0,0,0,7416
1643,1,2.9,0,0,0,12,0.8,94,3,18,510,1695,841,19,20,20,1,1,0,1,0,0,0,3672
1127,1,2.4,0,20,0,30,0.4,130,5,10,923,1112,1119,8,18,10,0,0,0,1,0,0,0,3333
1086,0,2.9,0,6,0,18,1.0,189,6,15,277,1198,1297,18,5,9,0,1,0,0,0,1,3,137717
1943,0,2.3,1,5,0,27,0.8,87,5,11,1004,1838,395,18,13,13,0,0,0,1,0,0,0,6296
1945,1,1.2,1,13,0,57,0.9,148,6,7,15,875,1394,17,7,16,0,1,0,1,0,0,0,4378
603,1,0.8,1,1,0,58,0.3,142,3,2,1548,1305,583,13,13,8,0,1,0,1,0,0,0,2943
753,1,2.5,0,3,0,24,0.3,147,2,1,355,1420,480,17,10,17,0,0,0,1,0,0,0,4811
1750,1,2.1,0,10,0,57,0.4,223,8,5,355,1374,813,8,15,8,1,1,0,1,0,0,0,6579
1635,1,0.6,0,14,0,53,0.3,231,3,15,829,1309,2742,17,19,13,1,0,0,0,1,0,0,3596
1009,1,1.4,0,17,1,49,0.9,85,6,19,1962,1943,1829,9,5,18,0,1,0,0,1,0,1,10682
1996,0,2.9,1,0,0,21,0.1,198,5,14,598,1404,1997,5,14,12,0,0,0,1,0,0,0,2346
598,0,1.8,0,2,0,46,0.2,136,1,13,1101,1919,641,19,14,5,0,0,0,1,0,0,0,3869
652,0,1.6,1,2,0,3,0.3,110,3,1,927,1710,776,18,13,20,1,0,0,0,0,1,2,38162
1413,1,1.6,0,6,0,25,0.3,85,5,19,1090,1505,1532,6,20,3,1,0,0,1,0,0,0,4921
1377,1,1.0,1,0,0,32,0.3,236,7,17,858,532,2923,15,11,3,1,1,1,0,0,0,0,8819
837,1,1.4,0,10,0,28,0.8,146,7,13,1746,568,1377,8,1,18,1,0,0,0,1,0,1,9692
1321,1,1.4,1,5,1,3,0.6,210,3,17,213,1091,3090,16,7,10,0,0,0,1,0,0,0,8105
1686,1,0.6,0,19,1,58,0.1,235,6,1,1720,1714,3398,8,18,2,1,0,0,0,1,0,1,15376
1456,1,2.4,1,2,1,15,0.5,153,7,0,448,600,2854,15,13,11,1,0,0,1,0,0,0,4964
660,0,1.5,0,18,0,5,0.5,193,5,19,964,1808,2089,14,4,16,1,1,1,0,0,0,0,4944
1300,0,2.6,1,1,0,50,0.2,176,8,1,1456,1413,702,10,8,16,0,0,0,1,0,0,0,5234
897,1,2.6,1,17,0,14,0.7,159,2,8,1568,1232,3417,17,12,3,1,1,0,0,1,0,1,9704
1800,0,1.0,0,11,1,37,0.7,202,5,8,1138,889,3757,10,8,15,0,1,0,0,1,0,1,17310
1315,1,2.1,1,9,0,36,0.7,217,7,15,786,659,1498,12,13,5,1,0,0,0,1,0,1,11738
1915,0,1.7,0,4,0,45,0.8,112,7,10,1443,1391,362,16,4,19,1,0,0,0,0,1,3,69855
1658,1,2.7,0,8,1,55,0.1,219,4,5,498,1570,1755,17,1,10,1,0,0,0,1,0,1,13861
1718,1,1.0,0,1,1,56,1.0,123,1,11,709,1682,3219,13,6,3,0,0,0,1,0,0,0,2533
900,0,2.2,1,1,0,9,0.8,92,6,2,379,1969,1733,18,15,3,1,1,1,0,0,0,0,5411
1139,0,2.0,1,5,0,3,0.9,231,5,11,1166,1195,1159,5,10,19,1,1,1,0,0,0,0,6154
1556,1,1.2,0,9,0,7,0.1,136,7,0,739,1257,1887,5,10,18,0,0,0,1,0,0,0,7746
1187,1,0.8,0,17,0,32,0.9,175,6,8,631,1022,2847,19,11,10,1,0,0,0,0,1,3,65194
959,0,2.1,1,11,1,55,0.8,223,3,19,1888,1231,1405,10,12,9,1,1,0,1,0,0,0,3647
1454,0,2.3,1,3,0,11,0.9,188,3,5,1047,654,1426,8,7,3,1,1,0,0,1,0,0,2577
969,1,1.3,1,20,0,45,0.2,199,5,10,538,838,2583,15,15,3,1,0,0,0,0,1,2,41286
1898,0,2.1,0,16,1,22,0.8,179,4,2,944,1888,279,8,20,6,1,0,0,1,0,0,0,8985
1545,1,1.5,0,14,0,43,1.0,228,7,3,1098,1294,1207,5,0,13,0,0,0,0,0,1,3,129715
1249,1,2.3,0,5,0,11,0.7,190,5,9,752,1671,2000,13,12,17,1,0,1,0,0,0,0,4059
537,1,1.0,0,15,1,24,0.6,130,2,18,534,1398,2295,16,10,15,1,0,0,1,0,0,0,4793
729,1,2.7,0,16,1,4,1.0,100,4,5,672,1667,375,15,3,3,0,0,0,1,0,0,0,6592
1888,0,1.2,1,2,0,33,0.5,139,7,0,1064,602,1931,7,3,9,0,1,1,0,0,0,0,4822
1062,0,1.4,0,9,1,21,0.6,100,7,7,1773,1311,1576,19,14,5,1,1,0,0,0,1,3,72255
937,0,0.6,1,4,1,11,0.5,186,6,7,1774,592,1110,9,2,10,1,1,1,0,0,0,0,5456
1806,0,0.8,1,13,0,30,0.9,205,5,5,567,1474,1271,14,18,20,1,1,0,0,0,1,3,71845
526,0,1.8,0,20,1,42,0.2,213,7,16,1436,1809,3247,5,20,3,0,0,0,1,0,0,0,3920
725,0,1.2,1,12,0,53,0.6,152,6,18,414,1947,3409,12,1,17,1,0,0,0,0,1,3,116741
1800,0,2.6,0,5,0,52,0.7,155,7,0,448,618,703,7,5,12,0,1,0,0,0,1,2,35576
1297,1,0.5,1,11,0,47,0.8,157,1,14,609,528,2191,18,7,9,0,0,0,0,1,0,1,19887
783,0,1.4,0,7,0,35,0.6,213,4,12,657,1512,1999,19,16,13,0,0,0,0,1,0,0,3629
1378,0,1.3,0,4,1,38,0.9,144,5,20,1797,1553,1251,5,4,4,1,0,0,0,1,0,1,13588
1459,1,0.5,1,14,0,21,0.9,165,1,2,435,1371,2198,14,1,14,1,1,1,0,0,0,0,8635
952,0,0.8,0,15,0,62,0.2,113,5,1,1575,1889,3797,10,11,3,1,1,1,0,0,0,0,5008
1519,0,1.5,1,0,0,62,0.5,135,2,2,704,1299,1702,5,4,14,0,1,0,0,1,0,1,16875
1315,1,1.7,0,15,0,9,0.1,154,3,8,238,1661,3872,19,9,9,1,1,0,1,0,0,0,3121
1158,0,1.5,0,4,1,8,0.4,82,8,15,1065,974,3351,19,8,16,1,1,0,1,0,0,0,6703
1046,0,1.8,0,2,1,7,0.6,249,6,12,733,1062,1340,7,19,10,0,1,0,1,0,0,0,3130
1715,0,2.0,1,19,1,12,0.9,85,5,18,1731,1915,1980,9,7,12,0,1,1,0,0,0,0,2394
1572,1,0.5,1,14,0,45,0.9,85,4,17,799,934,2387,8,0,4,0,0,0,0,0,1,2,42032
516,0,1.7,0,12,1,19,0.2,227,5,20,9,1303,2528,20,5,8,0,1,1,0,0,0,0,3688
1695,0,2.9,1,15,1,52,0.2,228,5,11,746,1757,441,11,10,15,0,0,0,0,1,0,0,8479
1743,1,1.8,0,10,0,43,0.6,81,5,11,1860,554,2678,10,2,16,1,0,0,0,0,1,3,103682
657,0,2.2,1,20,1,58,0.6,169,8,0,1288,1430,327,16,14,10,0,1,0,1,0,0,0,6221
976,1,1.3,1,1,0,30,0.3,135,7,19,1604,1815,329,7,10,12,1,0,1,0,0,0,0,7743
1569,1,2.4,0,5,1,26,0.9,175,5,7,1468,1251,2176,20,4,8,0,0,1,0,0,0,0,7991
1896,0,2.4,0,5,1,64,0.9,89,7,16,138,811,1620,15,15,13,1,1,0,0,1,0,0,8874
1017,1,1.8,0,13,1,22,0.5,166,4,20,1890,1612,2456,12,20,20,1,0,0,1,0,0,0,6698
598,1,2.9,0,10,1,47,0.9,149,4,19,730,1735,2399,12,6,19,0,1,1,0,0,0,0,5187
1560,0,0.8,0,7,0,4,0.4,230,5,6,195,1456,3892,18,5,14,0,0,1,0,0,0,0,6322
779,1,0.5,1,7,0,19,0.8,192,7,8,1097,817,2748,6,8,12,1,0,0,0,0,1,2,55603
1872,1,2.4,1,0,1,25,0.5,109,3,16,1638,1256,3437,20,6,2,0,0,1,0,0,0,0,4868
996,0,2.5,0,20,0,48,0.2,207,5,9,1248,964,1737,11,2,7,0,0,0,0,0,1,3,117098
801,0,0.8,0,6,1,39,0.9,157,6,3,1658,1610,3131,18,10,3,0,1,1,0,0,0,0,6146
680,0,1.2,0,5,1,11,0.5,244,6,6,1125,1932,3378,5,11,14,0,1,0,1,0,0,0,8986
1106,1,0.5,1,20,1,28,0.8,134,4,6,263,1763,2680,6,20,14,0,1,0,0,1,0,0,8836
1622,0,1.2,0,7,1,13,0.4,128,8,7,944,1199,1020,12,10,20,0,0,0,1,0,0,0,7339
1199,1,2.4,0,18,1,8,0.1,113,6,7,919,1580,1352,16,1,10,0,0,0,0,1,0,0,2521
1492,1,1.8,1,20,1,18,0.2,184,6,15,160,1636,467,5,0,20,0,0,1,0,0,0,0,4103
1639,1,1.4,1,19,0,2,0.5,101,2,11,1256,1234,3759,6,1,2,1,0,0,1,0,0,0,3706
690,1,1.4,1,7,0,59,0.7,110,5,14,490,1593,979,16,13,9,1,1,0,0,0,1,2,53486
752,1,0.5,1,13,1,51,0.4,214,5,7,1810,1238,3495,5,12,15,0,0,0,0,1,0,0,2095
1480,1,1.2,0,17,0,27,0.7,184,5,8,769,1267,3078,9,4,17,0,1,0,0,1,0,1,12895
1427,1,2.1,1,15,1,16,0.7,228,5,2,310,1707,2634,11,1,5,1,0,1,0,0,0,0,5349
1684,0,2.9,1,8,0,52,0.7,95,1,20,1674,1243,2021,10,18,19,0,0,0,0,1,0,1,17278
1779,0,2.6,0,14,0,61,0.5,99,5,15,226,775,1006,10,16,15,0,1,0,0,1,0,1,18544
1846,1,0.6,0,9,0,34,0.9,122,8,14,272,732,1773,10,10,10,0,1,0,0,1,0,1,10362
627,1,2.7,0,15,1,63,0.5,126,7,3,937,553,3470,12,15,16,0,1,1,0,0,0,0,2874
517,0,2.5,1,3,0,38,0.5,193,4,19,316,756,3909,9,19,4,1,1,0,1,0,0,0,4591
1065,1,2.5,0,19,1,48,0.3,98,7,15,1922,589,1724,19,17,5,0,0,1,0,0,0,0,6879
1069,0,1.6,1,12,1,32,0.4,127,8,9,1109,1958,3127,14,19,19,1,1,0,0,0,1,3,114526
1846,0,1.5,1,4,1,36,0.1,218,4,10,290,907,649,11,7,15,0,1,0,0,1,0,0,3374
1185,0,1.3,1,6,0,2,0.7,236,1,4,1492,1792,767,7,1,16,1,0,0,0,1,0,1,18478
1125,1,0.7,0,8,0,9,0.3,124,5,10,728,865,941,13,16,9,1,0,0,1,0,0,0,4994
1811,1,1.1,1,7,0,13,0.4,243,3,12,1894,850,2924,14,10,11,1,0,0,0,1,0,0,8006
1353,0,1.1,0,15,1,60,0.8,166,7,14,1601,1822,1994,7,13,13,0,0,0,1,0,0,0,3976
1461,0,1.7,0,5,1,55,0.4,94,5,5,1792,1682,1976,18,15,10,0,1,0,0,1,0,0,2106
654,0,2.4,0,15,0,58,0.3,189,4,15,1670,986,2082,18,14,9,0,1,0,0,1,0,1,15303
989,0,1.7,1,5,1,20,0.3,175,7,14,1427,1341,3655,10,14,18,1,0,1,0,0,0,0,7531
1909,0,0.6,1,13,0,26,0.8,247,2,10,1450,1483,2907,7,2,10,0,1,1,0,0,0,0,5184
1284,1,2.9,1,20,0,58,0.2,181,6,19,374,1878,1538,5,6,14,0,1,0,0,0,1,2,31958
1627,0,2.9,0,0,0,33,0.5,165,2,1,1925,1120,2113,5,11,15,1,0,0,1,0,0,0,5910
1916,1,2.5,1,8,0,64,0.6,221,3,1,566,1429,3764,7,2,6,0,1,0,0,0,1,2,39010
745,0,3.0,1,12,1,13,0.7,160,5,11,867,900,3021,8,18,10,1,1,1,0,0,0,0,6260
1699,1,1.9,1,18,0,64,0.7,130,1,15,754,1928,3891,18,9,17,0,0,0,1,0,0,0,6637
1562,1,2.9,1,16,0,14,0.8,191,5,18,251,1619,2652,6,7,20,1,1,1,0,0,0,0,3219
2000,1,0.7,1,10,0,29,0.1,94,3,1,1556,1069,2818,13,15,8,1,1,0,1,0,0,0,2123
1258,1,1.4,0,7,0,2,0.4,144,3,16,306,1474,3776,19,15,13,1,0,0,0,1,0,1,17891
1037,1,1.1,0,4,0,52,0.4,167,6,13,1453,891,2702,15,11,3,1,1,0,0,0,1,2,38432
1420,1,1.0,0,9,0,7,0.2,155,3,15,674,851,3923,12,4,19,1,0,0,0,0,1,3,101321
907,0,0.9,0,6,0,9,0.4,89,2,4,867,1305,2517,16,19,19,1,0,0,1,0,0,0,6982
1024,1,2.1,1,9,1,5,0.4,121,6,9,263,1075,3873,17,5,17,1,0,0,0,0,1,2,59355
1327,0,2.5,0,3,1,6,0.6,174,5,16,67,1276,2865,20,5,12,0,0,1,0,0,0,0,8922
1402,1,1.9,1,8,1,26,0.7,90,7,12,1130,1132,1568,20,7,3,1,0,0,0,0,1,2,33430
535,1,0.9,0,13,1,23,0.4,197,5,15,1423,1811,2120,7,16,15,0,0,0,1,0,0,0,3707
1184,0,2.5,0,1,0,29,0.7,223,1,8,1602,1022,3586,11,11,5,0,1,0,0,0,1,3,146027
519,1,2.1,0,8,1,40,0.4,204,3,3,1222,1225,2561,8,13,8,0,0,0,0,0,1,2,37113
820,0,1.5,1,20,1,24,0.4,157,3,15,1215,661,1667,9,1,3,1,1,1,0,0,0,0,7129
1011,0,2.2,1,0,1,5,0.6,226,4,10,513,1158,2063,8,18,15,0,0,0,0,1,0,0,5499
899,0,1.1,0,9,0,53,0.1,238,6,6,768,1705,2997,13,5,8,1,0,1,0,0,0,0,7970
1153,0,1.4,1,9,1,5,0.2,169,4,16,441,1349,1824,20,17,10,0,0,0,0,0,1,2,32738
1471,1,2.8,0,19,1,63,0.5,87,6,12,0,581,3592,15,3,9,1,1,0,0,0,1,2,53403
970,1,1.2,0,2,0,48,0.9,231,2,3,357,1023,3640,11,4,10,1,1,0,0,1,0,1,9593
1666,0,1.7,0,5,1,60,0.7,215,6,13,1138,503,1319,17,5,8,0,0,0,0,1,0,0,3168
1615,1,2.7,1,5,0,22,0.2,190,5,9,902,994,1253,8,14,20,1,1,1,0,0,0,0,7368
1877,1,2.3,0,20,1,38,0.9,237,1,9,1623,1574,3123,20,5,18,0,0,0,0,1,0,0,4740
1333,0,0.7,0,1,0,57,0.8,137,7,9,1220,1784,2513,17,7,14,1,0,1,0,0,0,0,4948
1226,1,0.9,0,17,1,42,0.6,165,6,11,1627,1657,2575,12,8,12,1,1,0,1,0,0,0,8231
1353,0,0.5,1,1,1,3,0.8,134,6,1,273,1885,3463,6,20,19,0,0,0,0,0,1,2,24960
550,0,2.1,0,11,1,60,0.5,201,6,8,855,1067,854,11,5,18,1,0,0,0,1,0,1,18193
1074,1,1.6,1,4,0,8,0.3,187,1,4,1017,1740,1339,15,1,17,0,1,0,1,0,0,0,5183
1713,1,0.8,0,19,1,50,0.6,127,3,7,1183,1377,3837,5,15,11,0,0,0,1,0,0,0,3354
1648,1,2.9,1,6,0,17,0.6,211,1,20,172,1591,3842,12,19,5,0,0,1,0,0,0,0,2059
649,0,1.8,0,15,0,18,0.6,244,8,13,1568,1511,3342,17,0,5,1,1,1,0,0,0,0,3170
813,0,1.1,0,19,0,21,0.6,215,8,6,1481,1514,3941,18,15,12,0,1,0,0,1,0,1,17328
1069,1,1.8,1,0,0,59,1.0,208,8,6,584,1363,3326,16,0,9,0,0,1,0,0,0,0,5954
1865,1,2.2,1,0,1,24,0.9,126,3,8,1456,1666,2558,18,0,10,0,0,0,1,0,0,0,5073
804,1,0.7,0,16,1,35,0.9,84,8,2,928,1869,3040,17,6,17,0,1,0,1,0,0,0,2882
1181,1,1.2,1,0,1,12,0.8,103,7,13,480,1278,977,19,15,11,1,1,0,0,0,1,3,63047
1337,0,2.5,0,20,0,35,0.9,97,5,16,454,1717,2838,10,16,10,1,0,0,1,0,0,0,3933
1577,1,1.6,0,19,1,34,0.2,163,1,17,195,1504,3562,16,15,4,0,1,0,0,1,0,1,11302
1502,0,1.9,0,12,0,27,0.3,235,3,11,795,1769,1410,9,15,3,0,1,0,0,0,1,3,110303
943,0,1.6,1,8,0,3,0.5,84,5,13,598,813,3997,13,5,10,0,1,1,0,0,0,0,7997
1112,1,0.6,0,14,0,62,0.9,109,5,12,1332,1229,1964,13,17,14,0,0,0,0,0,1,3,67599
1492,1,0.9,1,2,1,64,0.6,80,3,13,1759,883,3327,7,2,7,0,0,0,1,0,0,0,4649
763,1,1.6,0,13,1,24,0.8,165,8,8,555,776,272,13,7,5,0,0,0,0,1,0,0,8553
1576,0,1.0,1,10,0,42,0.2,161,3,18,847,1595,3185,17,3,15,1,0,1,0,0,0,0,6852
1503,1,0.6,1,11,1,23,0.3,148,2,1,1517,1652,3257,19,3,12,0,0,1,0,0,0,0,8443
504,1,2.6,0,12,1,59,0.8,110,5,10,438,1881,3129,17,16,3,0,1,0,1,0,0,0,5154
1626,0,3.0,1,12,0,35,0.2,170,3,16,649,1197,1247,13,4,4,0,1,0,0,1,0,0,5731
1719,1,2.5,0,0,0,61,0.4,172,5,1,1805,1743,1133,6,13,6,0,1,0,1,0,0,0,4086
1273,0,2.6,0,9,1,16,0.3,206,8,18,358,1529,2488,9,14,8,0,0,0,1,0,0,0,5828
1376,1,1.1,0,2,0,11,0.4,235,1,6,1059,1250,3718,15,11,12,0,0,0,0,1,0,1,17541
1491,0,2.9,0,3,0,16,0.7,95,7,17,1057,1482,1702,6,12,13,1,1,0,1,0,0,0,7011
1383,1,1.0,0,15,1,43,0.4,133,4,12,1111,1123,1721,5,17,12,1,1,0,0,1,0,0,6781
1873,1,2.9,1,7,1,30,0.6,219,8,4,657,727,1934,11,13,20,0,1,0,0,1,0,1,17085
546,0,3.0,0,15,0,58,0.2,99,4,17,15,516,3883,8,18,14,1,1,0,1,0,0,0,8742
1366,0,2.3,1,16,1,24,0.8,161,6,15,744,511,3339,9,6,5,0,0,0,1,0,0,0,8658
1322,1,3.0,1,18,0,60,0.4,241,3,14,420,1191,1799,8,5,15,1,0,0,0,0,1,3,67582
1435,0,1.9,0,14,0,18,0.7,230,3,7,552,569,335,10,4,13,0,1,1,0,0,0,0,4439
1155,0,1.1,1,15,1,61,0.8,188,8,14,766,607,3112,15,3,3,0,0,1,0,0,0,0,5204
768,0,1.6,0,14,0,10,0.3,234,5,0,792,700,2605,6,17,9,0,0,0,0,1,0,1,19648
869,0,2.0,1,1,0,51,0.9,192,8,16,1149,1575,3543,12,13,20,1,0,0,0,0,1,2,40001
1135,1,0.7,1,10,0,37,0.7,96,6,14,1031,1128,1527,8,15,14,1,0,0,0,1,0,0,3025
1629,1,2.1,1,0,1,10,0.5,228,8,13,1495,1782,1820,12,19,2,0,1,0,0,0,1,3,105759
1156,0,3.0,0,14,1,17,0.3,247,3,13,1491,1787,1551,7,13,6,0,1,0,0,1,0,1,16296
619,0,1.0,1,18,1,37,0.9,205,8,9,879,1405,2436,16,4,12,1,0,1,0,0,0,0,7832
1330,0,2.5,0,3,0,49,0.8,82,5,1,1885,802,1284,16,10,12,0,1,0,0,0,1,3,124984
1581,0,2.8,1,10,0,52,0.3,96,3,5,851,1436,3059,15,11,14,0,0,0,1,0,0,0,7746
1869,1,2.9,1,4,1,34,0.4,129,5,16,509,1075,1821,20,17,3,0,1,0,1,0,0,0,8733
1240,1,2.9,1,2,1,56,0.8,201,8,4,1425,1054,2932,9,3,20,1,1,1,0,0,0,0,4205
1997,0,1.8,1,12,1,32,0.7,169,3,4,1859,624,1969,16,12,17,1,1,0,0,0,1,2,26634
616,0,2.9,0,9,0,7,0.8,166,2,14,1199,1793,1265,7,19,6,0,1,0,1,0,0,0,2823
1290,0,2.4,0,10,1,11,0.5,85,7,14,1763,1358,1028,16,12,15,0,1,0,1,0,0,0,2777
1650,1,0.9,1,17,0,17,0.7,235,5,19,965,1244,2444,19,3,20,1,1,0,1,0,0,0,6627
1916,0,1.7,1,1,1,5,0.4,134,7,10,1858,979,738,20,6,6,0,1,1,0,0,0,0,8506
1512,1,2.3,0,6,0,55,0.3,226,2,4,913,631,3632,17,1,10,0,0,0,0,1,0,0,2447
1581,0,1.1,0,8,0,23,0.7,181,2,0,1390,1525,2648,11,20,13,0,1,0,1,0,0,0,6520
1133,1,2.1,0,9,1,14,1.0,108,2,10,1511,614,1841,19,17,17,0,0,0,1,0,0,0,7904
1012,0,2.2,0,17,0,17,0.4,230,2,10,17,980,3597,7,20,20,1,1,0,0,1,0,0,4618
1301,1,0.9,1,6,1,53,0.5,190,1,5,55,1480,3435,19,5,16,0,1,0,1,0,0,0,8126
1619,0,1.9,1,6,0,63,0.7,239,7,7,918,1524,1837,16,15,18,0,1,0,0,0,1,2,28932
1641,0,2.4,0,2,0,30,0.6,89,8,1,1058,830,2777,12,2,16,0,0,0,1,0,0,0,7554
1059,0,1.7,0,11,1,7,0.9,170,6,14,901,1441,1361,13,14,4,1,0,0,0,1,0,1,14159
987,1,0.5,0,6,0,27,0.8,108,8,8,629,1454,3965,17,20,18,1,0,1,0,0,0,0,8072
1760,0,0.5,0,16,1,12,0.2,124,8,14,793,1267,1363,16,19,14,1,0,1,0,0,0,0,5109
1396,1,1.4,0,0,1,25,1.0,130,7,7,1789,890,3617,6,9,10,0,0,0,0,0,1,2,26071
1795,1,2.8,0,4,1,30,0.8,180,8,15,1748,1333,3398,7,8,14,0,1,0,1,0,0,0,8685
1712,0,1.1,1,15,0,4,0.9,207,4,13,1596,642,430,16,10,17,0,0,0,1,0,0,0,5182
1203,0,2.1,1,14,0,53,0.7,90,1,14,1623,827,2107,17,13,20,1,0,0,0,1,0,1,19953
1970,0,1.1,1,1,0,11,0.9,161,8,19,1806,1127,1097,11,11,15,1,0,0,0,1,0,1,10749
1080,1,1.3,0,8,1,62,0.2,207,3,12,346,876,3790,9,6,9,0,1,0,0,0,1,3,71436
1289,0,2.6,0,6,1,61,0.4,85,8,8,1055,589,2128,14,10,20,0,1,0,0,0,1,3,136054
1360,1,2.3,0,3,0,63,0.9,146,3,0,907,1307,3722,11,16,4,1,1,0,1,0,0,0,4320
